product_id,title,brand,category,price,price_numeric,budget_range,stock,url,description,tags,features,attributes,variations,image
4561abc4203705763f88ff58f8d2ddef,کاپشن چهارفصل موتور سواری STATE مدل تورینگ توراگ BLACK-RED,State,پوشاک موتورسواری,"6,700,000تومان",6700000.0,۵-۱۰ میلیون,موجود در انبار,https://starcyclet.com/%da%a9%d8%a7%d9%be%d8%b4%d9%86-%d9%85%d9%88%d8%aa%d9%88%d8%b1-%d8%b3%d9%88%d8%a7%d8%b1%db%8c-%d8%aa%d9%88%d8%b1%db%8c%d9%86%da%af-%d8%aa%d9%88%d8%b1%d8%a7%da%af-state-%d9%85%d8%af%d9%84-red/,محصول کاپشن چهارفصل موتور سواری STATE مدل تورینگ توراگ BLACK-RED از برند State با ویژگی‌های کاپشن موتورسواری چهار فصل برای پوشاک موتورسواری طراحی شده.,"[""کاپشن موتورسواری چهار فصل"", ""State"", ""چهارفصل""]","[{""label"": ""سبک"", ""value"": ""کاپشن موتورسواری چهار فصل""}]","[{""label"": ""سبک"", ""value"": ""کاپشن موتورسواری چهار فصل""}]","[{""size"": ""L"", ""stock"": ""1 عدد در انبار"", ""price"": ""6,700,000تومان"", ""price_numeric"": 6700000, ""budget_range"": ""۵-۱۰ میلیون""}]",https://cdn.starcyclet.com/wp-content/uploads/2025/01/state-toragred1-100x100.jpg
11bddbd055a4827d757fb0dc834c5775,دستکش پروتکشن‌دار SCOYCO مدل MC192WP BLACK,Scoyco,پوشاک موتورسواری,"5,400,000تومان",5400000.0,۵-۱۰ میلیون,موجود در انبار,https://starcyclet.com/%d8%af%d8%b3%d8%aa%da%a9%d8%b4-%d9%be%d8%b1%d9%88%d8%aa%da%a9%d8%b4%d9%86%d8%af%d8%a7%d8%b1-scoyco-%d9%85%d8%af%d9%84-mc192wp-blk/,"محصول دستکش پروتکشن‌دار SCOYCO مدل MC192WP BLACK از برند Scoyco با ویژگی‌های زمستانی , اسپرت , پروتکشن دار برای پوشاک موتورسواری طراحی شده.","[""اسپرت"", ""Scoyco"", ""زمستانی , اسپرت , پروتکشن دار""]","[{""label"": ""سبک"", ""value"": ""زمستانی , اسپرت , پروتکشن دار""}]","[{""label"": ""سبک"", ""value"": ""زمستانی , اسپرت , پروتکشن دار""}]","[{""size"": ""XXL"", ""stock"": ""2 عدد در انبار"", ""price"": ""5,400,000تومان"", ""price_numeric"": 5400000, ""budget_range"": ""۵-۱۰ میلیون""}, {""size"": ""XL"", ""stock"": ""1 عدد در انبار"", ""price"": ""5,400,000تومان"", ""price_numeric"": 5400000, ""budget_range"": ""۵-۱۰ میلیون""}]",https://cdn.starcyclet.com/wp-content/uploads/2025/01/MC192WP-BLKk2-100x100.jpg
6163b0f678d918959ab17450728e879c,لاستیک ایران یاسا مدل 110/70/16 مناسب موتور های هیوسانگ و طرح هارلی,ایران یاسا,لاستیک موتور سیکلت,"2,000,000تومان",2000000.0,زیر ۵ میلیون,موجود در انبار,https://starcyclet.com/%d9%84%d8%a7%d8%b3%d8%aa%db%8c%da%a9-%d8%a7%db%8c%d8%b1%d8%a7%d9%86-%db%8c%d8%a7%d8%b3%d8%a7-%d9%85%d8%af%d9%84-110-70-16-%d9%85%d9%86%d8%a7%d8%b3%d8%a8-%d9%85%d9%88%d8%aa%d9%88%d8%b1-%d9%87%d8%a7/,محصول لاستیک ایران یاسا مدل 110/70/16 مناسب موتور های هیوسانگ و طرح هارلی از برند ایران یاسا با ویژگی‌های 110 میلی متر برای لاستیک موتور سیکلت طراحی شده.,"[""110 میلی متر""]","[{""label"": ""پهنا"", ""value"": ""110 میلی متر""}]","[{""label"": ""پهنا"", ""value"": ""110 میلی متر""}]",[],https://cdn.starcyclet.com/wp-content/uploads/2025/02/110-90-16YASASA-100x100.jpg
849e34913ec18b5f7a83abdd8c7013f1,کلاه کاسکت نوجوان SMK مدل BIONIC CHIMPZ (MA264),Smk,کلاه کاسکت,"8,000,000تومان",8000000.0,۵-۱۰ میلیون,موجود در انبار,https://starcyclet.com/%da%a9%d9%84%d8%a7%d9%87-%da%a9%d8%a7%d8%b3%da%a9%d8%aa-%d9%86%d9%88%d8%ac%d9%88%d8%a7%d9%86-smk-%d8%a8%d8%a7%db%8c%d9%88%d9%86%db%8c%da%a9-%d9%85%d8%af%d9%84-chimpz-ma264/,"محصول کلاه کاسکت نوجوان SMK مدل BIONIC CHIMPZ (MA264) از برند Smk با ویژگی‌های اسپرت , فک ثابت نوجوان برای کلاه کاسکت طراحی شده.","[""فک ثابت"", ""اسپرت"", ""Smk"", ""اسپرت , فک ثابت نوجوان""]","[{""label"": ""سبک"", ""value"": ""اسپرت , فک ثابت نوجوان""}]","[{""label"": ""سبک"", ""value"": ""اسپرت , فک ثابت نوجوان""}]","[{""size"": ""YS"", ""stock"": ""5 عدد در انبار"", ""price"": ""8,000,000تومان"", ""price_numeric"": 8000000, ""budget_range"": ""۵-۱۰ میلیون""}]",https://cdn.starcyclet.com/wp-content/uploads/2025/02/SMK-BIONICCC-MA264-100x100.jpg
669d1d872c8148f77d7fe40aef164159,لاستیک موتورسیکلت عقب میتاس سایز190/55/17,نامشخص,لاستیک موتور سیکلت,"16,500,000تومان",16500000.0,بیش از ۱۰ میلیون,موجود در انبار,https://starcyclet.com/%d9%84%d8%a7%d8%b3%d8%aa%db%8c%da%a9-%d9%85%db%8c%d8%aa%d8%a7%d8%b3-190/,محصول لاستیک موتورسیکلت عقب میتاس سایز190/55/17 از برند نامشخص با ویژگی‌های شهری چهارفصل برای لاستیک موتور سیکلت طراحی شده.,"[""شهری چهارفصل""]","[{""label"": ""سبک"", ""value"": ""شهری چهارفصل""}]","[{""label"": ""سبک"", ""value"": ""شهری چهارفصل""}]",[],https://cdn.starcyclet.com/wp-content/uploads/2024/07/ef6f1b-100x100.jpg
774a5d805087aebb03838d79aa47948a,کلاه کاسکت بدون فک QIKE مدل FLASH BLUE,Qike,کلاه کاسکت,"6,500,000تومان",6500000.0,۵-۱۰ میلیون,موجود در انبار,https://starcyclet.com/%da%a9%d9%84%d8%a7%d9%87-%da%a9%d8%a7%d8%b3%da%a9%d8%aa-%d8%a8%d8%af%d9%88%d9%86-%d9%81%da%a9-qike-%d9%85%d8%af%d9%84-flash-blue/,محصول کلاه کاسکت بدون فک QIKE مدل FLASH BLUE از برند Qike با ویژگی‌های بدون فک شهری برای کلاه کاسکت طراحی شده.,"[""بدون فک شهری"", ""شهری"", ""بدون فک"", ""Qike""]","[{""label"": ""سبک"", ""value"": ""بدون فک شهری""}]","[{""label"": ""سبک"", ""value"": ""بدون فک شهری""}]","[{""size"": ""L"", ""stock"": ""1 عدد در انبار"", ""price"": ""6,500,000تومان"", ""price_numeric"": 6500000, ""budget_range"": ""۵-۱۰ میلیون""}, {""size"": ""XL"", ""stock"": ""1 عدد در انبار"", ""price"": ""6,500,000تومان"", ""price_numeric"": 6500000, ""budget_range"": ""۵-۱۰ میلیون""}, {""size"": ""XXL"", ""stock"": ""1 عدد در انبار"", ""price"": ""6,500,000تومان"", ""price_numeric"": 6500000, ""budget_range"": ""۵-۱۰ میلیون""}]",https://cdn.starcyclet.com/wp-content/uploads/2025/04/qikebif-BLUE5-100x100.jpg
c96cabd102a42ef344749ec4396f4d18,کلاه کاسکت کراسی FULMER مدل MATT-PINK,Fulmer,کلاه کاسکت,"4,500,000تومان",4500000.0,زیر ۵ میلیون,موجود در انبار,https://starcyclet.com/%da%a9%d9%84%d8%a7%d9%87-%da%a9%d8%a7%d8%b3%da%a9%d8%aa-%da%a9%d8%b1%d8%a7%d8%b3%db%8c-fulmer-%d9%85%d8%af%d9%84-mt-pink/,محصول کلاه کاسکت کراسی FULMER مدل MATT-PINK از برند Fulmer با ویژگی‌های کراسی برای کلاه کاسکت طراحی شده.,"[""کراسی"", ""Fulmer""]","[{""label"": ""سبک"", ""value"": ""کراسی""}]","[{""label"": ""سبک"", ""value"": ""کراسی""}]","[{""size"": ""L"", ""stock"": ""1 عدد در انبار"", ""price"": ""4,500,000تومان"", ""price_numeric"": 4500000, ""budget_range"": ""زیر ۵ میلیون""}, {""size"": ""XL"", ""stock"": ""1 عدد در انبار"", ""price"": ""4,500,000تومان"", ""price_numeric"": 4500000, ""budget_range"": ""زیر ۵ میلیون""}, {""size"": ""M"", ""stock"": ""1 عدد در انبار"", ""price"": ""4,500,000تومان"", ""price_numeric"": 4500000, ""budget_range"": ""زیر ۵ میلیون""}]",https://cdn.starcyclet.com/wp-content/uploads/2025/04/FULMER-BLKPINK5-100x100.jpg
15a112783f11e7aa41626b72f9229957,کلاه کاسکت کراسی SMK مدل ALLTERRA TRIBOU (GL527),Smk,کلاه کاسکت,"8,200,000تومان",8200000.0,۵-۱۰ میلیون,موجود در انبار,https://starcyclet.com/%da%a9%d9%84%d8%a7%d9%87-%da%a9%d8%a7%d8%b3%da%a9%d8%aa-%da%a9%d8%b1%d8%a7%d8%b3%db%8c-smk-%d8%a2%d9%84%d8%aa%d8%b1%d8%a7-%d9%85%d8%af%d9%84-tribou-gl527/,"محصول کلاه کاسکت کراسی SMK مدل ALLTERRA TRIBOU (GL527) از برند Smk با ویژگی‌های اسپرت , کراسی برای کلاه کاسکت طراحی شده.","[""اسپرت"", ""اسپرت , کراسی"", ""Smk"", ""کراسی""]","[{""label"": ""سبک"", ""value"": ""اسپرت , کراسی""}]","[{""label"": ""سبک"", ""value"": ""اسپرت , کراسی""}]","[{""size"": ""XXL"", ""stock"": ""28 عدد در انبار"", ""price"": ""8,200,000تومان"", ""price_numeric"": 8200000, ""budget_range"": ""۵-۱۰ میلیون""}, {""size"": ""XL"", ""stock"": ""28 عدد در انبار"", ""price"": ""8,200,000تومان"", ""price_numeric"": 8200000, ""budget_range"": ""۵-۱۰ میلیون""}, {""size"": ""M"", ""stock"": ""28 عدد در انبار"", ""price"": ""8,200,000تومان"", ""price_numeric"": 8200000, ""budget_range"": ""۵-۱۰ میلیون""}, {""size"": ""L"", ""stock"": ""28 عدد در انبار"", ""price"": ""8,200,000تومان"", ""price_numeric"": 8200000, ""budget_range"": ""۵-۱۰ میلیون""}]",https://cdn.starcyclet.com/wp-content/uploads/2024/12/TRBOU-3-2-1-100x100.jpg
e1cd3c5fc67529c54b6a2812af3e8ce1,لاستیک ایران یاسا مدل 120/80/17 گل کارن مناسب موتور سیکلت های آپاچی و بنلی,ایران یاسا,لاستیک موتور سیکلت,"2,110,000تومان",2110000.0,زیر ۵ میلیون,موجود در انبار,https://starcyclet.com/%d9%84%d8%a7%d8%b3%d8%aa%db%8c%da%a9-%d8%a7%db%8c%d8%b1%d8%a7%d9%86-%db%8c%d8%a7%d8%b3%d8%a7-%d9%85%d8%af%d9%84-120-80-17-%da%af%d9%84-%da%a9%d8%a7%d8%b1%d9%86-%d9%85%d9%86%d8%a7%d8%b3%d8%a8-%d9%85/,محصول لاستیک ایران یاسا مدل 120/80/17 گل کارن مناسب موتور سیکلت های آپاچی و بنلی از برند ایران یاسا با ویژگی‌های 120 میلی متر برای لاستیک موتور سیکلت طراحی شده.,"[""120 میلی متر""]","[{""label"": ""پهنا"", ""value"": ""120 میلی متر""}]","[{""label"": ""پهنا"", ""value"": ""120 میلی متر""}]",[],https://cdn.starcyclet.com/wp-content/uploads/2025/02/e6c36dc56783ed11788f6912e665b820991b69d4_1640535687-100x100.webp
b4b70d7adeec56aaaf72710178881391,لاستیک ایران یاسا مدل 130/90/10 مناسب موتور سیکلت های برقی,ایران یاسا,لاستیک موتور سیکلت,"1,750,000تومان",1750000.0,زیر ۵ میلیون,موجود در انبار,https://starcyclet.com/%d9%84%d8%a7%d8%b3%d8%aa%db%8c%da%a9-%d8%a7%db%8c%d8%b1%d8%a7%d9%86-%db%8c%d8%a7%d8%b3%d8%a7-%d9%85%d8%af%d9%84-130-90-10-%d9%85%d9%86%d8%a7%d8%b3%d8%a8-%d9%85%d9%88%d8%aa%d9%88%d8%b1-%d8%b3%db%8c/,محصول لاستیک ایران یاسا مدل 130/90/10 مناسب موتور سیکلت های برقی از برند ایران یاسا با ویژگی‌های 130 میلی متر برای لاستیک موتور سیکلت طراحی شده.,"[""130 میلی متر""]","[{""label"": ""پهنا"", ""value"": ""130 میلی متر""}]","[{""label"": ""پهنا"", ""value"": ""130 میلی متر""}]",[],https://cdn.starcyclet.com/wp-content/uploads/2025/02/akd913njc-100x100.jpg
